microchip;species;sex;size;potentDangerous;neighborhood,,,,,,
97810108191876;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN,,,,,,
900032001933212;CANINO;MACHO;PEQUEÑO;NO;USAQUEN,,,,,,
900113000007963;CANINO;MACHO;MEDIANO;NO;USAQUEN,,,,,,
900113000009612;CANINO;MACHO;PEQUEÑO;NO;USAQUEN,,,,,,
900113000295781;CANINO;MACHO;GRANDE;NO;CHAPINERO,,,,,,
900113000295784;CANINO;MACHO;GRANDE;NO;CHAPINERO,,,,,,
900113000295907;CANINO;HEMBRA;MUY GRANDE;NO;CHAPINERO,,,,,,
900250000596690;CANINO;MACHO;GRANDE;SI;SANTA FE,,,,,,
900250000596693;FELINO;MACHO;PEQUEÑO;NO;SANTA FE,,,,,,
900250000597067;CANINO;MACHO;MEDIANO;NO;SANTA FE,,,,,,
900250000597071;CANINO;HEMBRA;MEDIANO;NO;SANTA FE,,,,,,
900250000597073;CANINO;HEMBRA;GRANDE;NO;SANTA FE,,,,,,
900250000597077;CANINO;MACHO;MEDIANO;SI;SANTA FE,,,,,,
991001001135113;CANINO;MACHO;MINIATURA;NO;SAN CRISTOBAL,,,,,,
991001001135116;CANINO;HEMBRA;PEQUEÑO;NO;SAN CRISTOBAL,,,,,,
991001001135117;CANINO;HEMBRA;PEQUEÑO;NO;SAN CRISTOBAL,,,,,,
991001001135120;CANINO;HEMBRA;MINIATURA;NO;SAN CRISTOBAL,,,,,,
991001001135177;CANINO;MACHO;GRANDE;NO;SAN CRISTOBAL,,,,,,
991001001135218;CANINO;MACHO;PEQUEÑO;NO;SAN CRISTOBAL,,,,,,
991001001135172;CANINO;MACHO;MINIATURA;NO;USME,,,,,,
991001001135173;CANINO;MACHO;MINIATURA;NO;USME,,,,,,
991001001135179;CANINO;HEMBRA;MINIATURA;NO;USME,,,,,,
999111000004798;CANINO;HEMBRA;PEQUEÑO;NO;USME,,,,,,
991001001135244;CANINO;MACHO;PEQUEÑO;NO;TUNJUELITO,,,,,,
991001001135251;CANINO;HEMBRA;PEQUEÑO;NO;TUNJUELITO,,,,,,
991001001135260;CANINO;MACHO;PEQUEÑO;NO;TUNJUELITO,,,,,,
900113000295925;CANINO;MACHO;GRANDE;NO;BOSA,,,,,,
900113000295926;CANINO;MACHO;MEDIANO;NO;BOSA,,,,,,
900113000295932;CANINO;HEMBRA;MEDIANO;NO;BOSA,,,,,,
900113000295966;CANINO;HEMBRA;MINIATURA;NO;BOSA,,,,,,
97811081927888;CANINO;HEMBRA;MEDIANO;NO;KENNEDY,,,,,,
798101081800086;CANINO;HEMBRA;MEDIANO;NO;KENNEDY,,,,,,
900113000078843;CANINO;MACHO;GRANDE;NO;KENNEDY,,,,,,
900113000295788;CANINO;HEMBRA;PEQUEÑO;NO;KENNEDY,,,,,,
900113000295933;CANINO;HEMBRA;MEDIANO;SI;KENNEDY,,,,,,
90025000596698;CANINO;MACHO;GRANDE;SI;FONTIBON,,,,,,
96600101057153;CANINO;HEMBRA;GRANDE;NO;FONTIBON,,,,,,
96600101058016;CANINO;MACHO;MEDIANO;SI;FONTIBON,,,,,,
900113000295783;CANINO;MACHO;MINIATURA;NO;FONTIBON,,,,,,
96000101060440;FELINO;HEMBRA;PEQUEÑO;NO;ENGATIVA,,,,,,
97810108192475;CANINO;MACHO;GRANDE;NO;ENGATIVA,,,,,,
97810108917027;FELINO;HEMBRA;PEQUEÑO;NO;ENGATIVA,,,,,,
97810108920579;CANINO;MACHO;GRANDE;NO;ENGATIVA,,,,,,
900113000295785;FELINO;HEMBRA;MEDIANO;NO;ENGATIVA,,,,,,
9781010819;CANINO;HEMBRA;MINIATURA;NO;SUBA,,,,,,
94100001459088;CANINO;MACHO;MEDIANO;NO;SUBA,,,,,,
96600910135800;CANINO;HEMBRA;MEDIANO;NO;SUBA,,,,,,
123456789101234;CANINO;HEMBRA;PEQUEÑO;NO;SUBA,,,,,,
170095600001328;CANINO;MACHO;MEDIANO;NO;SUBA,,,,,,
170445668899999;CANINO;MACHO;MEDIANO;NO;SUBA,,,,,,
100000000000000;CANINO;MACHO;MEDIANO;NO;B. UNIDOS,,,,,,
900032002164961;CANINO;HEMBRA;MEDIANO;NO;B. UNIDOS,,,,,,
900032002164970;FELINO;MACHO;MEDIANO;NO;B. UNIDOS,,,,,,
900113000295754;CANINO;MACHO;GRANDE;NO;TEUSAQUILLO,,,,,,
900113000295943;CANINO;HEMBRA;GRANDE;NO;TEUSAQUILLO,,,,,,
900113000083983;CANINO;MACHO;GRANDE;NO;LOS MARTIRES,,,,,,
900250000246841;CANINO;HEMBRA;MEDIANO;NO;LOS MARTIRES,,,,,,
900250000247613;CANINO;HEMBRA;MEDIANO;NO;LOS MARTIRES,,,,,,
9781010819657;CANINO;MACHO;MINIATURA;NO;A. NARINO,,,,,,
900113000295921;CANINO;HEMBRA;MEDIANO;NO;A. NARINO,,,,,,
900113000295978;CANINO;MACHO;MEDIANO;NO;A. NARINO,,,,,,
900250000481430;CANINO;MACHO;MEDIANO;NO;A. NARINO,,,,,,
900113000007825;CANINO;HEMBRA;GRANDE;NO;P. ARANDA,,,,,,
900113000295942;CANINO;MACHO;MEDIANO;NO;P. ARANDA,,,,,,
900113000295948;FELINO;HEMBRA;MEDIANO;NO;P. ARANDA,,,,,,
900113000422563;CANINO;MACHO;GRANDE;NO;P. ARANDA,,,,,,
900250000481019;FELINO;MACHO;PEQUEÑO;NO;LA CANDELARIA,,,,,,
900250000481163;CANINO;HEMBRA;PEQUEÑO;NO;LA CANDELARIA,,,,,,
900250000481608;CANINO;MACHO;GRANDE;NO;LA CANDELARIA,,,,,,
900113000295975;CANINO;MACHO;GRANDE;SI;R. URIBE,,,,,,
900113000422616;CANINO;MACHO;GRANDE;NO;R. URIBE,,,,,,
900118000412652;CANINO;HEMBRA;MEDIANO;SI;R. URIBE,,,,,,
900250000480988;CANINO;MACHO;GRANDE;NO;R. URIBE,,,,,,
900250000481110;CANINO;HEMBRA;PEQUEÑO;NO;R. URIBE,,,,,,
900250000481178;CANINO;MACHO;MINIATURA;NO;R. URIBE,,,,,,
900113000295792;CANINO;MACHO;MEDIANO;NO;C. BOLIVAR,,,,,,
900113000295938;CANINO;MACHO;GRANDE;NO;C. BOLIVAR,,,,,,
966000101003136;CANINO;HEMBRA;MEDIANO;NO;SUMAPAZ,,,,,,
966000101003506;CANINO;MACHO;PEQUEÑO;NO;SUMAPAZ,,,,,,
966000101119220;FELINO;HEMBRA;MEDIANO;NO;SUMAPAZ,,,,,,
315251960002018;CANINO;HEMBRA;PEQUEÑO;NO;MUNICIPIOS ALEDAÑOS BOGOTA D.C.,,,,,,
315251960012018;CANINO;HEMBRA;GRANDE;NO;MUNICIPIOS ALEDAÑOS BOGOTA D.C.,,,,,,
315251960022018;CANINO;HEMBRA;MEDIANO;NO;MUNICIPIOS ALEDAÑOS BOGOTA D.C.,,,,,,
94000019740962;FELINO;HEMBRA;MEDIANO;NO;SIN IDENTIFICAR,,,,,,
94100001459057;CANINO;MACHO;MEDIANO;NO;SIN IDENTIFICAR,,,,,,
94100001459092;CANINO;HEMBRA;MEDIANO;NO;SIN IDENTIFICAR,,,,,,
94100001569314;NO IDENTIFICADO;MACHO;MEDIANO;NO;SIN IDENTIFICAR,,,,,,
